ESTUDIANTE;PRUEBA;PREGUNTA 001;PREGUNTA 002;PREGUNTA 003;PREGUNTA 004;PREGUNTA 005;PREGUNTA 006;PREGUNTA 007;PREGUNTA 008;PREGUNTA 009;PREGUNTA 010;PREGUNTA 011;PREGUNTA 012;PREGUNTA 013;PREGUNTA 014;PREGUNTA 015;PREGUNTA 016;PREGUNTA 017;PREGUNTA 018;PREGUNTA 019;PREGUNTA 020;PREGUNTA 021;PREGUNTA 022;PREGUNTA 023;PREGUNTA 024;PREGUNTA 025;PREGUNTA 026;PREGUNTA 027;PREGUNTA 028;PREGUNTA 029;PREGUNTA 030;PREGUNTA 031;PREGUNTA 032;PREGUNTA 033;PREGUNTA 034;PREGUNTA 035;PREGUNTA 036;PREGUNTA 037;PREGUNTA 038;PREGUNTA 039;PREGUNTA 040;PREGUNTA 041;PREGUNTA 042;PREGUNTA 043;PREGUNTA 044;PREGUNTA 045;PREGUNTA 046;PREGUNTA 047;PREGUNTA 048;PREGUNTA 049;PREGUNTA 050;PREGUNTA 051;PREGUNTA 052;PREGUNTA 053;PREGUNTA 054;PREGUNTA 055;PREGUNTA 056;PREGUNTA 057;PREGUNTA 058;PREGUNTA 059;PREGUNTA 060;PREGUNTA 061;PREGUNTA 062;PREGUNTA 063;PREGUNTA 064;PREGUNTA 065;PREGUNTA 066;PREGUNTA 067;PREGUNTA 068;PREGUNTA 069;PREGUNTA 070;PREGUNTA 071;PREGUNTA 072;PREGUNTA 073;PREGUNTA 074;PREGUNTA 075;PREGUNTA 076;PREGUNTA 077;PREGUNTA 078;PREGUNTA 079;PREGUNTA 080;PREGUNTA 081;PREGUNTA 082;PREGUNTA 083;PREGUNTA 084;PREGUNTA 085;PREGUNTA 086;PREGUNTA 087;PREGUNTA 088;PREGUNTA 089;PREGUNTA 090;PREGUNTA 091;PREGUNTA 092;PREGUNTA 093;PREGUNTA 094;PREGUNTA 095;PREGUNTA 096;PREGUNTA 097;PREGUNTA 098;PREGUNTA 099;PREGUNTA 100
STU0057;PAES;C;D;B;A;C;B;A;B;B;A;B;A;A;C;B;B;D;D;D;B;D;B;B;D;B;D;A;A;C;D;A;D;D;B;C;A;A;D;C;B;B;A;C;C;D;C;D;B;C;D;D;A;A;B;D;A;D;D;B;D;B;D;B;C;D;D;A;B;D;A;A;D;C;D;B;A;D;D;C;C;C;D;C;A;D;A;D;A;C;A;D;B;B;D;A;C;D;A;A;A
STU0058;PAES;A;C;D;A;B;D;B;C;C;D;B;A;C;D;D;B;A;D;C;B;C;D;D;B;D;A;B;A;A;D;C;B;D;B;B;C;D;A;C;B;A;A;B;A;A;A;D;A;B;A;D;A;A;D;D;A;D;C;C;D;B;D;C;B;D;A;D;C;B;B;B;A;B;C;A;C;D;C;B;D;B;C;B;B;A;A;C;D;C;C;A;C;B;C;A;D;C;C;B;A
STU0059;PAES;A;B;D;C;D;C;C;D;A;C;C;C;A;B;B;A;B;D;A;C;B;D;D;B;D;D;B;B;A;C;B;D;A;D;A;B;D;D;C;B;C;C;C;A;C;C;A;B;B;B;D;A;D;B;D;B;D;C;C;B;D;C;D;A;A;B;B;A;A;D;C;B;B;D;D;A;A;B;D;D;C;B;D;D;D;B;A;B;D;C;D;A;B;D;B;C;A;C;D;B
STU0060;PAES;A;D;D;B;A;D;D;C;B;C;A;A;A;C;C;D;C;D;D;D;D;A;B;B;D;B;A;B;A;D;B;B;A;A;B;A;B;A;A;D;D;A;A;C;C;D;A;A;C;A;C;D;A;D;D;B;D;B;D;D;B;A;C;D;D;C;A;B;C;D;C;A;D;C;A;D;C;A;D;A;D;C;B;B;A;D;C;C;D;A;C;A;D;A;A;C;B;B;A;A
STU0061;PAES;B;A;D;A;B;A;A;A;A;B;B;C;C;D;C;C;C;B;A;D;B;B;B;D;C;D;A;D;C;B;D;B;C;A;B;A;C;A;C;A;B;A;B;A;C;A;B;D;B;D;D;D;D;C;B;A;D;C;D;D;C;C;B;B;B;D;C;A;A;B;C;D;B;D;A;D;D;D;C;A;C;D;A;C;A;C;C;D;C;C;D;A;D;B;D;A;A;C;C;C
STU0062;PAES;A;D;B;A;A;C;A;D;B;D;C;B;D;B;C;C;B;C;A;A;C;D;D;D;C;C;D;B;D;D;D;C;B;A;B;D;A;C;A;A;D;C;C;A;B;B;D;A;B;D;C;C;B;D;C;A;A;A;B;B;B;B;C;A;A;C;C;A;A;A;C;B;A;A;B;D;C;D;D;B;B;C;C;A;A;C;B;A;A;B;C;B;A;C;D;B;D;C;A;C
STU0063;PAES;D;D;C;B;D;D;B;B;D;B;B;C;D;C;B;A;A;C;A;B;D;B;D;D;D;D;C;D;C;D;B;D;D;C;C;C;C;C;D;C;D;A;A;D;A;D;A;D;B;C;B;A;A;C;C;C;A;D;C;D;A;B;D;B;A;D;A;D;C;C;C;C;C;A;A;C;C;A;D;C;A;B;D;A;C;B;C;D;A;C;B;A;B;D;D;B;A;B;D;D
STU0064;PAES;C;B;B;A;A;D;A;D;A;B;D;D;A;C;D;B;B;C;B;D;D;A;D;A;D;D;A;B;B;D;C;D;A;B;C;A;D;C;C;A;B;C;D;B;D;D;C;D;C;C;B;A;C;A;B;B;C;D;D;A;D;B;C;A;C;C;A;D;D;C;A;A;B;B;A;A;B;B;D;A;D;C;B;D;B;C;C;A;A;A;B;C;A;B;C;D;D;C;A;C
STU0065;PAES;D;C;C;C;C;B;C;A;D;D;C;A;D;A;B;D;B;D;B;B;B;A;B;B;A;A;D;D;B;D;C;C;C;C;D;C;A;C;B;B;A;C;C;B;A;D;A;D;D;D;A;C;B;A;B;D;B;C;D;B;C;A;B;C;D;B;A;C;B;A;C;A;C;A;D;A;D;C;C;C;B;D;C;B;C;A;A;C;B;C;A;D;B;C;C;B;C;B;B;C
STU0066;PAES;C;D;A;B;D;C;D;B;A;A;D;C;D;C;C;B;B;C;A;C;D;C;B;B;B;A;B;C;B;B;C;A;B;A;D;D;B;D;D;A;D;D;D;C;A;D;B;A;A;D;B;B;C;B;D;D;B;A;C;B;C;B;A;B;D;C;B;A;C;C;D;C;C;B;A;D;B;D;B;C;D;A;D;C;A;B;D;C;A;D;C;C;A;B;C;B;A;B;D;D
STU0067;PAES;D;B;A;D;C;C;A;D;D;D;D;B;B;D;A;A;D;A;D;D;D;A;A;A;A;A;A;D;A;C;C;C;B;B;C;A;B;D;B;B;A;D;A;B;C;D;D;D;D;C;B;B;B;B;B;B;D;B;B;D;A;A;A;D;B;B;A;B;C;D;B;D;B;D;A;B;C;D;D;D;B;D;D;D;B;B;D;D;B;A;B;B;A;C;D;A;C;C;C;B
STU0068;PAES;A;C;A;D;A;B;C;D;A;C;C;C;A;A;D;B;D;C;C;B;D;B;C;D;B;A;C;B;D;A;A;C;B;B;A;A;D;D;C;B;A;D;A;D;A;B;A;B;A;C;B;C;B;A;C;A;B;C;C;D;C;C;A;A;A;A;C;C;D;A;C;A;B;D;C;A;D;C;B;B;A;C;B;B;D;C;C;B;C;B;D;B;C;B;A;B;A;A;C;C
STU0069;PAES;A;D;C;D;D;A;A;C;D;A;C;A;A;B;A;C;B;D;A;A;A;A;A;A;B;B;A;C;D;C;D;C;B;C;C;B;D;A;B;D;A;B;D;C;C;A;D;B;C;B;A;D;D;A;C;D;C;A;D;B;D;D;A;B;B;D;C;A;D;B;C;D;C;D;C;A;D;C;A;B;A;D;B;A;B;C;D;D;C;A;B;B;C;D;A;D;A;B;C;D
STU0070;PAES;C;A;B;B;D;C;A;D;C;C;C;D;C;D;D;A;C;B;C;C;B;A;C;C;B;B;B;D;C;A;B;A;B;B;D;A;B;B;D;D;B;A;D;A;A;C;C;A;C;A;D;C;D;C;A;D;B;A;A;C;B;A;D;D;B;C;A;D;B;B;A;D;C;C;A;D;D;B;D;B;D;D;B;C;D;D;D;A;A;A;B;B;D;D;D;D;B;B;A;B
STU0071;PAES;D;C;C;C;C;B;B;A;B;C;A;D;B;D;A;A;C;C;D;D;B;A;C;A;C;B;D;A;A;D;C;A;A;C;C;D;D;C;A;C;B;C;A;A;A;A;A;A;A;A;C;D;C;C;C;A;C;C;D;A;B;D;A;A;C;C;C;A;C;C;D;A;A;A;B;A;A;D;C;C;D;B;D;A;A;A;B;C;A;B;B;A;D;D;C;A;B;B;B;B
STU0072;PAES;B;C;D;C;B;D;C;B;D;C;B;A;B;A;C;B;D;A;B;A;D;D;A;D;C;A;A;D;D;C;B;D;C;C;D;C;B;C;D;D;B;A;D;B;A;B;A;C;D;B;C;B;B;B;C;A;B;C;D;A;D;D;B;A;D;D;A;C;C;B;A;C;B;D;C;C;B;D;A;D;B;B;B;B;D;B;A;A;A;B;D;B;B;B;B;C;A;C;D;D
STU0073;PAES;A;B;D;D;C;A;C;D;D;D;C;B;B;A;B;B;D;D;D;D;B;C;A;C;C;A;D;C;B;C;A;A;D;C;B;C;C;D;A;B;D;D;D;B;A;A;A;A;A;D;D;A;A;D;A;B;C;D;D;D;B;D;B;C;D;C;C;C;A;C;D;C;B;C;D;A;B;B;C;C;D;B;B;A;C;B;D;A;D;C;A;A;D;B;B;C;D;A;C;C
STU0074;PAES;D;C;D;A;C;D;C;D;D;B;C;C;C;D;B;D;D;B;C;A;D;D;B;D;A;A;D;A;B;C;A;D;A;A;B;B;B;D;B;B;B;D;B;A;D;D;C;B;C;D;A;A;A;A;C;C;A;C;A;B;B;B;A;A;D;D;D;A;C;D;B;B;B;C;D;D;A;B;B;B;C;C;C;B;A;D;A;D;C;B;B;D;C;B;B;B;A;A;D;D
STU0075;PAES;B;A;B;A;C;B;D;D;C;D;D;A;A;B;D;A;A;D;C;A;C;D;C;D;A;D;D;D;C;C;B;C;D;C;A;D;A;B;A;D;D;B;D;A;A;C;B;D;D;C;C;A;C;B;C;B;A;A;A;A;C;B;D;C;B;C;A;D;C;B;B;B;B;C;C;B;D;B;C;A;A;C;B;C;B;D;C;D;C;D;B;C;B;D;D;C;D;A;C;C
STU0076;PAES;C;C;D;A;C;B;B;D;A;A;A;D;D;B;B;D;B;D;D;A;B;D;A;A;C;A;A;B;D;A;B;A;B;C;D;B;D;A;B;A;B;C;B;A;C;D;D;C;C;C;C;C;C;B;A;A;C;B;A;A;C;D;C;C;C;B;B;A;A;D;C;D;A;D;B;A;B;C;B;C;D;C;B;B;B;C;C;D;D;D;C;D;B;B;D;B;C;B;A;B
STU0077;PAES;C;C;D;B;B;D;C;A;C;B;D;D;B;B;C;C;B;B;C;A;D;B;C;B;A;A;B;C;D;C;B;D;B;A;C;C;B;D;B;A;B;A;D;B;B;A;A;D;B;C;B;D;A;B;A;D;D;C;A;C;D;D;B;C;C;B;B;C;D;A;A;C;D;C;A;C;B;B;D;B;D;C;D;B;A;C;A;D;B;B;D;C;A;A;C;A;D;C;B;D
STU0078;PAES;B;D;D;D;A;C;A;B;C;D;A;C;C;A;C;B;A;B;C;B;C;B;A;B;D;C;B;A;B;D;B;A;B;D;D;A;D;A;D;C;B;C;D;C;B;A;A;A;D;D;A;C;C;A;B;D;C;C;C;A;A;C;A;C;C;D;D;D;C;C;A;B;B;C;A;A;A;B;D;D;C;D;C;D;D;A;D;D;C;D;D;C;D;A;B;C;C;C;A;D
STU0079;PAES;C;B;D;A;A;B;C;D;D;A;C;C;B;C;C;A;A;D;A;D;A;C;B;A;C;C;C;D;D;C;D;B;C;C;C;B;B;C;D;D;C;D;D;C;A;C;C;D;C;A;C;A;B;C;A;D;B;B;D;B;C;A;A;A;D;B;A;D;C;A;A;C;A;B;A;C;C;D;B;C;A;A;B;C;D;B;B;B;B;A;C;B;C;A;D;D;C;A;B;D
STU0080;PAES;A;B;B;A;C;D;A;B;D;C;C;A;C;B;A;D;A;C;A;B;D;C;D;A;B;C;D;D;B;B;A;C;C;D;A;C;A;B;B;D;D;D;A;C;B;A;C;D;D;A;C;C;C;C;C;C;B;C;A;A;D;D;B;B;B;B;D;C;D;B;B;A;A;C;C;D;C;D;B;B;D;B;C;D;C;B;B;D;C;B;A;A;C;C;A;D;D;A;B;D
STU0081;PAES;C;C;C;B;B;A;A;A;C;D;B;D;B;B;A;B;A;D;A;A;C;C;C;A;B;A;B;A;B;B;A;D;D;A;A;B;B;B;D;B;A;A;B;C;C;B;C;A;A;D;C;A;C;A;C;B;A;D;D;B;D;C;C;A;D;C;B;D;A;A;D;B;B;A;D;A;C;B;A;C;C;A;A;A;D;B;B;A;C;D;D;C;A;D;A;A;A;D;A;B
STU0082;PAES;B;C;B;C;D;D;D;D;A;A;A;B;C;B;A;B;C;C;A;C;C;B;C;C;A;C;B;A;A;C;C;D;A;B;D;A;B;B;A;C;A;D;C;C;C;B;D;B;C;B;A;A;A;D;B;A;A;B;D;A;C;D;C;B;C;A;C;B;D;C;B;B;A;A;A;C;A;C;D;C;B;A;C;D;B;B;A;C;D;A;C;A;A;A;A;D;C;C;A;A
STU0083;PAES;B;A;B;B;B;C;C;D;D;A;B;A;D;A;C;D;B;D;A;A;A;A;D;B;D;B;C;B;B;C;D;A;A;B;D;B;C;C;C;C;D;A;B;D;D;D;D;A;D;D;D;C;B;C;C;D;B;A;A;A;A;C;D;D;A;C;D;B;D;A;D;C;D;D;D;D;B;C;C;B;B;B;A;C;B;C;A;D;D;D;B;A;D;B;B;B;B;C;B;C
STU0084;PAES;A;C;A;A;C;C;B;D;A;A;A;D;A;D;D;A;D;D;B;C;A;B;B;A;A;A;B;D;C;A;C;D;D;C;B;A;A;B;D;D;C;C;D;C;C;C;A;C;D;A;B;B;D;A;B;D;C;B;B;D;D;C;D;D;C;A;C;D;B;C;D;B;D;A;D;B;A;D;B;B;B;B;C;B;D;C;D;D;A;B;C;A;C;B;C;C;B;A;B;A
STU0085;PAES;D;D;B;C;A;B;D;D;B;B;A;A;C;D;A;B;D;C;C;A;D;C;A;C;C;D;D;B;D;D;C;D;C;B;D;B;A;B;A;A;D;D;D;A;C;D;B;C;A;D;A;B;C;A;D;B;A;D;C;C;B;D;C;B;D;C;B;D;C;A;A;B;B;B;B;B;B;D;D;B;B;B;C;B;B;C;B;D;D;B;B;C;C;B;D;C;B;D;A;B
STU0086;PAES;A;B;D;A;C;B;A;D;C;C;D;C;B;A;D;D;B;A;B;A;D;B;D;A;A;B;A;D;D;B;B;A;C;B;A;A;B;A;C;C;C;A;B;A;C;D;C;C;C;A;B;C;C;A;A;A;C;D;D;A;B;D;D;A;D;A;D;D;D;D;C;B;A;A;D;C;B;B;A;B;D;B;A;D;D;A;A;A;C;C;B;C;A;B;D;A;A;B;D;C
STU0087;PAES;D;C;D;C;C;A;B;A;A;D;A;C;D;B;C;B;A;A;D;B;C;B;C;C;D;B;C;B;D;D;B;C;B;A;A;C;B;B;C;A;D;B;D;C;A;C;A;C;D;D;C;C;D;C;C;D;B;C;D;B;A;A;C;D;A;C;B;C;C;A;D;C;C;A;B;B;A;D;B;A;A;B;A;B;D;B;D;D;B;B;B;B;C;C;A;A;D;C;A;D
STU0088;PAES;C;A;C;C;B;D;D;D;B;A;B;B;B;D;D;B;B;A;B;D;A;A;A;B;D;C;A;C;D;B;B;C;B;B;A;B;B;D;C;D;C;D;D;C;D;A;B;B;B;B;A;B;B;D;D;C;B;B;A;D;B;D;C;A;C;C;B;A;B;B;C;B;D;D;C;C;D;D;D;C;D;D;D;C;B;B;B;A;C;A;A;B;C;C;A;B;D;C;A;A
STU0089;PAES;B;D;D;C;A;B;B;B;D;B;C;D;B;C;C;D;B;B;A;A;C;C;C;C;C;C;D;D;D;A;D;D;A;D;B;C;C;C;C;D;B;A;B;A;C;C;B;C;C;D;B;B;D;C;B;B;B;B;B;C;C;D;D;D;D;A;B;C;D;A;A;A;B;C;D;D;A;A;C;C;C;B;C;D;B;D;B;C;D;C;A;D;B;C;D;C;C;C;C;B
STU0090;PAES;A;B;A;C;C;C;C;B;B;C;C;B;A;D;D;D;A;B;B;A;A;C;D;B;B;C;A;C;D;B;D;A;D;B;A;D;D;A;A;B;C;B;D;D;C;A;D;A;B;C;A;A;A;A;C;B;B;A;D;C;C;A;D;C;B;B;C;B;B;C;B;C;D;C;B;D;C;D;D;D;D;C;B;B;C;A;D;D;D;C;D;D;A;D;B;C;B;A;A;B
STU0091;PAES;D;C;D;A;A;A;C;C;C;A;A;C;D;D;D;B;B;C;B;B;B;D;A;D;A;C;C;A;A;A;A;C;B;D;D;B;B;C;A;D;B;D;B;A;B;D;A;B;A;D;C;D;D;A;D;A;A;D;B;B;B;D;D;C;C;A;B;D;C;C;A;A;A;B;D;D;D;A;B;C;D;D;D;B;C;C;C;A;A;A;B;D;B;A;C;A;B;C;B;C
STU0092;PAES;B;A;C;B;A;D;C;D;A;C;B;D;B;A;B;A;D;C;D;D;B;A;B;B;C;C;D;D;D;B;B;D;B;D;C;B;B;C;D;B;A;B;B;C;B;A;C;D;B;B;D;A;C;A;C;A;A;D;A;A;A;D;C;B;A;B;A;A;C;D;A;D;B;D;B;C;A;D;B;D;A;B;B;D;A;D;A;A;C;A;D;A;C;B;B;C;C;D;B;C
STU0093;PAES;A;A;C;C;D;D;A;A;C;B;B;D;B;A;D;A;D;B;D;D;B;A;D;D;C;C;A;D;D;D;D;D;B;B;C;A;A;A;D;A;C;D;C;C;A;A;A;C;B;B;B;B;C;A;D;A;C;C;A;A;C;A;A;A;B;D;B;C;D;A;C;D;C;C;A;A;A;B;C;C;A;C;A;A;A;D;C;C;C;C;B;A;B;B;D;D;C;B;A;A
STU0094;PAES;B;B;B;A;A;C;D;D;C;D;C;B;A;C;D;D;A;C;D;B;C;C;D;C;B;D;C;B;C;C;C;B;A;B;D;B;D;D;A;D;B;B;C;A;C;A;A;B;D;D;B;A;D;C;B;A;B;B;A;A;B;B;A;D;A;A;A;D;C;D;D;D;C;C;C;C;C;D;D;B;B;B;A;C;A;B;B;C;C;D;A;C;B;A;C;D;D;C;C;D
STU0095;PAES;B;D;A;C;B;D;B;A;B;B;B;A;B;C;C;D;A;A;C;C;D;C;C;D;B;D;C;C;A;B;A;B;D;B;A;A;D;C;A;B;B;A;B;D;C;D;C;C;C;A;A;A;D;A;D;C;C;C;A;C;D;D;B;D;C;B;D;C;D;C;D;D;A;D;D;C;B;A;C;D;B;A;B;D;D;D;A;D;D;B;D;C;B;D;D;A;A;C;D;B
STU0096;PAES;D;C;D;B;D;C;D;C;D;B;B;D;A;A;B;D;D;C;B;C;A;D;A;A;C;D;B;B;B;C;B;C;D;D;D;C;B;D;C;B;B;A;B;B;C;D;A;D;C;D;B;B;C;A;A;D;D;A;B;D;C;D;B;C;A;B;B;B;D;B;B;A;D;A;A;D;A;C;C;B;A;C;D;A;D;B;A;D;B;B;A;D;D;D;C;A;B;A;C;B
STU0097;PAES;C;D;B;B;A;D;A;B;D;D;B;A;A;C;C;C;D;C;B;C;A;D;C;C;D;A;A;D;B;D;C;C;A;D;D;A;D;C;D;D;A;C;C;A;B;C;C;A;D;B;D;D;B;A;D;C;D;A;A;C;A;D;D;B;A;A;A;C;D;A;B;A;B;D;C;B;B;C;D;A;B;A;C;A;D;C;B;D;A;C;B;A;A;B;A;B;A;D;C;A
STU0098;PAES;D;C;D;C;A;C;D;A;D;A;A;D;B;C;C;A;A;D;A;C;B;B;D;B;A;C;D;D;A;C;C;C;D;D;C;C;A;A;C;C;B;C;A;D;D;D;C;D;D;D;C;A;D;A;A;D;B;B;B;B;C;D;C;A;B;C;B;D;A;C;A;D;C;B;D;C;B;D;A;D;A;B;D;A;D;D;B;C;C;D;B;C;B;D;A;D;D;D;D;C
STU0099;PAES;B;A;C;C;A;A;C;B;C;B;C;A;C;D;D;D;D;C;B;A;A;A;D;C;D;D;A;C;D;D;C;D;D;A;B;B;C;A;D;A;D;C;D;C;B;D;B;C;A;B;A;B;B;D;A;D;D;D;C;B;A;C;D;A;A;B;D;D;B;D;C;A;C;A;D;B;B;C;B;C;B;C;C;B;B;A;C;C;C;A;A;D;C;B;A;A;A;D;D;A
